U+1F600	{ 😀 }	[ 露齒笑, 笑面 ]
U+1F603	{ 😃 }	[ 開懷大笑, 眉開眼笑 ]
U+1F604	{ 😄 }	[ 好笑 ]
U+1F601	{ 😁 }	[ 笑容滿面, 露齒大笑 ]
U+1F606	{ 😆 }	[ 笑死 ]
U+1F979	{ 🥹 }	[ 忍淚笑, 可憐, 眼溼溼 ]
U+1F605	{ 😅 }	[ 尷尬 ]
U+1F923	{ 🤣 }	[ 笑死 ]
U+1F602	{ 😂 }	[ 笑死, 破涕爲笑 ]
U+1F972	{ 🥲 }	[ 笑淚, 閉翳 ]
U+263A U+FE0F	{ ☺️ }	[ 面紅 ]
U+1F60A	{ 😊 }	[ 面紅, 得意, 可愛, 唔使客氣 ]
U+1F607	{ 😇 }	[ 純潔, 光環, 頭頂光環, 天使 ]
U+1F642	{ 🙂 }	[ 假笑 ]
U+1F643	{ 🙃 }	[ 倒轉 ]
U+1F609	{ 😉 }	[ 得意洋洋, 佻皮, 單眼 ]
U+1F60C	{ 😌 }	[ 放鬆, 釋然 ]
U+1F970	{ 🥰 }	[ 心滿意足, 鍾意 ]
U+1F60D	{ 😍 }	[ 迷戀, 花癡, 鍾意, 心心眼 ]
U+1F618	{ 😘 }	[ 飛吻, 示愛 ]
U+1F617	{ 😗 }	[ 開眼𡃶 ]
U+1F61A	{ 😚 }	[ 瞇眼𡃶 ]
U+1F619	{ 😙 }	[ 𡃶啖, 𡃶𡃶 ]
U+1F60B	{ 😋 }	[ 伸脷, 想食 ]
U+1F61B	{ 😛 }	[ 伸脷 ]
U+1F61D	{ 😝 }	[ 講笑 ]
U+1F61C	{ 😜 }	[ 扮鬼面 ]
U+1F92A	{ 🤪 }	[ 調皮, 曳曳 ]
U+1F928	{ 🤨 }	[ 面目猙獰 ]
U+1F9D0	{ 🧐 }	[ 單片眼鏡, 檢查, 睇過, 睇睇, 思考 ]
U+1F913	{ 🤓 }	[ 戴眼鏡, 眼鏡 ]
U+1F60E	{ 😎 }	[ 墨鏡 ]
U+1F978	{ 🥸 }	[ 僞裝, 虛僞 ]
U+1F929	{ 🤩 }	[ 開心, 好開心, 好嘢, 正, 星星眼 ]
U+1F973	{ 🥳 }	[ 開心 ]
U+1F60F	{ 😏 }	[ 嘴角上揚, 陰險, 奸笑 ]
U+1F612	{ 😒 }	[ 苦瓜面口, 鬱悶 ]
U+1F61E	{ 😞 }	[ 低落 ]
U+1F614	{ 😔 }	[ 憂傷, 憂慮, 擔憂, 傷心 ]
U+1F61F	{ 😟 }	[ 擔心 ]
U+1F615	{ 😕 }	[ 困擾 ]
U+1F641	{ 🙁 }	[ 眉頭微皺, 微微不滿 ]
U+2639 U+FE0F	{ ☹️ }	[ 不滿, 唔開心 ]
U+1F623	{ 😣 }	[ 傷心, 堅忍, 忍受 ]
U+1F616	{ 😖 }	[ 苦惱 ]
U+1F62B	{ 😫 }	[ 煩躁, 勞累, 疲憊, 難過 ]
U+1F629	{ 😩 }	[ 厭倦 ]
U+1F97A	{ 🥺 }	[ 請求, 可憐 ]
U+1F622	{ 😢 }	[ 可惜, 眼淚 ]
U+1F62D	{ 😭 }	[ 淚流滿面, 流淚, 悲傷 ]
U+1F624	{ 😤 }	[ 唔忿, 怒 ]
U+1F620	{ 😠 }	[ 唔開心, 唔高興, 嚴肅 ]
U+1F621	{ 😡 }	[ 憤怒 ]
U+1F92C	{ 🤬 }	[ 詛咒, 鬧人, 粗口 ]
U+1F92F	{ 🤯 }	[ 頭都大埋, 大腦爆炸, 噉都得 ]
U+1F633	{ 😳 }	[ 愕然, 不知所措 ]
U+1F975	{ 🥵 }	[ 發熱, 好熱, 熱死, 中暑 ]
U+1F976	{ 🥶 }	[ 凍甩牙, 凍死, 死鬼咁凍, 鬼死咁凍, 好凍 ]
U+1F636 U+200D U+1F32B U+FE0F	{ 😶‍🌫️ }	[ 一頭霧水, 迷霧 ]
U+1F631	{ 😱 }	[ 恐懼, 驚, 驚怕, 嚇死, 恐怖 ]
U+1F628	{ 😨 }	[ 膽怯, 發怵, 驚恐, 驚, 驚怕 ]
U+1F630	{ 😰 }	[ 焦慮, 嚇死 ]
U+1F625	{ 😥 }	[ 算啦, 算罷啦 ]
U+1F613	{ 😓 }	[ 汗顏, 滴汗, 尷尬, 沮喪 ]
U+1F917	{ 🤗 }	[ 相擁, 擁抱, 懷抱, 攬攬, 自鳴得意 ]
U+1F914	{ 🤔 }	[ 思考, 若有所思, 惗 ]
U+1FAE3	{ 🫣 }	[ 偷睇 ]
U+1F92D	{ 🤭 }	[ 偷笑 ]
U+1FAE2	{ 🫢 }	[ 不知所措, 揞口 ]
U+1FAE1	{ 🫡 }	[ 敬禮 ]
U+1F92B	{ 🤫 }	[ 噓, 細聲啲, 唔好出聲 ]
U+1FAE0	{ 🫠 }	[ 融化, 熔化 ]
U+1F925	{ 🤥 }	[ 講大話 ]
U+1F636	{ 😶 }	[ 圍觀, 冇嘴 ]
U+1FAE5	{ 🫥 }	[ 面無表情 ]
U+1F610	{ 😐 }	[ 面無表情 ]
U+1FAE4	{ 🫤 }	[ 講多無謂 ]
U+1F611	{ 😑 }	[ 面無表情, 冇眼睇, 瞇埋眼, 瞇眼 ]
U+1F62C	{ 😬 }	[ 齜牙 ]
U+1F644	{ 🙄 }	[ 反白眼, 翻白眼 ]
U+1F62F	{ 😯 }	[ 愕然 ]
U+1F626	{ 😦 }	[ 錯愕 ]
U+1F627	{ 😧 }	[ 驚奇 ]
U+1F62E	{ 😮 }	[ 張嘴 ]
U+1F632	{ 😲 }	[ 吃驚, 大吃一驚 ]
U+1F971	{ 🥱 }	[ 瞌眼睏 ]
U+1F634	{ 😴 }	[ 睏覺, 瞌眼睏 ]
U+1F924	{ 🤤 }	[ 流口水 ]
U+1F62A	{ 😪 }	[ 疲勞 ]
U+1F62E U+200D U+1F4A8	{ 😮‍💨 }	[ 癐, 好癐, 抵力, 好抵力 ]
U+1F635	{ 😵 }	[ 頭暈眼花 ]
U+1F635 U+200D U+1F4AB	{ 😵‍💫 }	[ 頭暈眼花 ]
U+1F910	{ 🤐 }	[ 拉鍊 ]
U+1F974	{ 🥴 }	[ 痛苦 ]
U+1F922	{ 🤢 }	[ 好核突, 想嘔, 想嘔咁滯 ]
U+1F92E	{ 🤮 }	[ 嘔, 嘔吐, 嘔心, 好核突 ]
U+1F927	{ 🤧 }	[ 乞嗤, 打乞嗤 ]
U+1F637	{ 😷 }	[ 戴口罩 ]
U+1F912	{ 🤒 }	[ 發燒, 探熱, 量體溫 ]
U+1F915	{ 🤕 }	[ 繃帶, 纏繃帶 ]
