U+1F436	{ 🐶 }	[ 狗, 狗頭 ]
U+1F431	{ 🐱 }	[ 貓, 貓頭 ]
U+1F42D	{ 🐭 }	[ 老鼠 ]
U+1F439	{ 🐹 }	[ 倉鼠 ]
U+1F430	{ 🐰 }	[ 兔頭, 兔仔頭, 兔 ]
U+1F98A	{ 🦊 }	[ 狐狸 ]
U+1F43B	{ 🐻 }	[ 熊頭, 熊 ]
U+1F43C	{ 🐼 }	[ 熊貓, 貓熊 ]
U+1F43B U+200D U+2744 U+FE0F	{ 🐻‍❄️ }	[ 北極熊 ]
U+1F428	{ 🐨 }	[ 無尾熊, 樹袋熊 ]
U+1F42F	{ 🐯 }	[ 老虎, 老虎頭, 大蟲 ]
U+1F981	{ 🦁 }	[ 獅子, 獅子頭 ]
U+1F42E	{ 🐮 }	[ 牛, 牛頭 ]
U+1F437	{ 🐷 }	[ 豬頭, 豬 ]
U+1F43D	{ 🐽 }	[ 豬鼻 ]
U+1F438	{ 🐸 }	[ 青蛙, 蛤𧊅, 蛤乸 ]
U+1F435	{ 🐵 }	[ 馬騮, 猴 ]
U+1F648	{ 🙈 }	[ 非禮勿視, 睇唔到 ]
U+1F649	{ 🙉 }	[ 非禮勿聽, 聽唔到 ]
U+1F64A	{ 🙊 }	[ 非禮勿言 ]
U+1F412	{ 🐒 }	[ 馬騮, 猴 ]
U+1F414	{ 🐔 }	[ 雞, 雞頭 ]
U+1F427	{ 🐧 }	[ 企鵝, 企鵝頭 ]
U+1F426	{ 🐦 }	[ 雀仔, 雀仔頭 ]
U+1F424	{ 🐤 }	[ 雞仔, 雞仔頭 ]
U+1F423	{ 🐣 }	[ 雞殼, 破殼而出, 脫殼而出 ]
U+1F425	{ 🐥 }	[ 雞仔 ]
U+1F986	{ 🦆 }	[ 青頭仔, 青頭鴨, 鴨, 鴨仔 ]
U+1F985	{ 🦅 }	[ 鷹 ]
U+1F989	{ 🦉 }	[ 貓頭鷹 ]
U+1F987	{ 🦇 }	[ 蝙蝠 ]
U+1F43A	{ 🐺 }	[ 狼頭, 狼 ]
U+1F417	{ 🐗 }	[ 野豬 ]
U+1F434	{ 🐴 }	[ 馬頭, 馬 ]
U+1F984	{ 🦄 }	[ 獨角獸 ]
U+1F41D	{ 🐝 }	[ 蜜蜂 ]
U+1FAB1	{ 🪱 }	[ 蠕蟲 ]
U+1F41B	{ 🐛 }	[ 蟲 ]
U+1F98B	{ 🦋 }	[ 蝴蝶, 蝶 ]
U+1F40C	{ 🐌 }	[ 蝸牛 ]
U+1F41E	{ 🐞 }	[ 瓢蟲 ]
U+1F41C	{ 🐜 }	[ 蟻, 螞蟻 ]
U+1FAB0	{ 🪰 }	[ 烏蠅, 蒼蠅 ]
U+1FAB2	{ 🪲 }	[ 甲蟲 ]
U+1FAB3	{ 🪳 }	[ 曱甴 ]
U+1F99F	{ 🦟 }	[ 蚊, 蚊蟲 ]
U+1F997	{ 🦗 }	[ 蟋蟀 ]
U+1F577 U+FE0F	{ 🕷️ }	[ 蠄蟧, 蜘蛛 ]
U+1F578 U+FE0F	{ 🕸️ }	[ 蠄蟧網, 蜘蛛網 ]
U+1F982	{ 🦂 }	[ 蠍子 ]
U+1F422	{ 🐢 }	[ 海龜, 龜, 綠龜 ]
U+1F40D	{ 🐍 }	[ 蛇 ]
U+1F98E	{ 🦎 }	[ 變色龍, 四腳蛇 ]
U+1F996	{ 🦖 }	[ 霸王龍 ]
U+1F995	{ 🦕 }	[ 恐龍 ]
U+1F419	{ 🐙 }	[ 章魚, 八爪魚 ]
U+1F991	{ 🦑 }	[ 魷魚 ]
U+1F990	{ 🦐 }	[ 蝦 ]
U+1F99E	{ 🦞 }	[ 龍蝦 ]
U+1F980	{ 🦀 }	[ 蟹 ]
U+1F421	{ 🐡 }	[ 河豚 ]
U+1F420	{ 🐠 }	[ 熱帶魚 ]
U+1F41F	{ 🐟 }	[ 魚 ]
U+1F42C	{ 🐬 }	[ 海豚 ]
