{ ⚽️ }	足球(zuk1 kau4), 踢波(tek3 bo1)
{ 🏀 }	籃球(laam4 kau4), 打波(daa2 bo1)
{ 🏈 }	美式橄欖球(mei5 sik1 gam2 laam5 kau4), 橄欖球(gam2 laam5 kau4)
{ ⚾️ }	棒球(paang5 kau4)
{ 🥎 }	壘球(leoi5 kau4)
{ 🎾 }	網球(mong5 kau4)
{ 🏐 }	排球(paai4 kau4)
{ 🏉 }	橄欖球(gam2 laam5 kau4)
{ 🥏 }	飛盤(fei1 pun4)
{ 🎱 }	臺球(toi2 kau4)
{ 🪀 }	溜溜球(lau6 lau6 kau4)
{ 🏓 }	乒乓球(bing1 bam1 kau4; bing1 bong1 kau4; ping1 pong1 kau4), 乒乓波(bing1 bam1 bo1; bing1 bong1 bo1; ping1 pong1 bo1)
{ 🏸 }	羽毛球(jyu5 mou4 kau4)
{ 🏒 }	冰上曲棍球(bing1 soeng6 kuk1 gwan3 kau4)
{ 🏑 }	曲棍球(kuk1 gwan3 kau4)
{ 🥍 }	長曲棍球(coeng4 kuk1 gwan3 kau4)
{ 🏏 }	板球(baan2 kau4)
{ 🪃 }	回旋鏢(wui4 syun4 biu1)
{ 🥅 }	球門(kau4 mun4), 龍門(lung4 mun4)
{ ⛳️ }	高爾夫球洞(gou1 ji5 fu1 kau4 dung6)
{ 🪁 }	風箏(fung1 zang1)
{ 🛝 }	滑梯(waat6 tai1)
{ 🏹 }	射箭(se6 zin3)
{ 🎣 }	釣魚(diu3 jyu2)
{ 🤿 }	潛水(cim4 seoi2)
{ 🥊 }	拳擊(kyun4 gik1)
{ 🥋 }	武術服(mou5 seot6 fuk6)
{ 🎽 }	運動背心(wan6 dung6 bui3 sam1), 運動衫(wan6 dung6 saam1)
{ 🛹 }	滑板(waat6 baan2)
{ 🛼 }	輪滑鞋(leon4 waat6 haai4)
{ 🛷 }	雪橇(syut3 hiu1)
{ ⛸ }	冰鞋(bing1 haai4)
{ 🥌 }	冰壺石(bing1 wu2 sek6), 冰壺(bing1 wu2)
{ 🎿 }	滑雪屐(waat6 syut3 kek6), 滑雪板(waat6 syut3 baan2)
{ ⛷ }	滑雪(waat6 syut3)
{ 🏂 }	滑雪(waat6 syut3), 單板滑雪(daan1 baan2 waat6 syut3)
{ 🪂 }	跳傘(tiu3 saan3), 降落傘(gong3 lok6 saan3)
{ 🏋️‍♀️ }	舉重女(geoi2 cung5 neoi5)
{ 🏋️ }	舉重(geoi2 cung5)
{ 🏋️‍♂️ }	舉重男(geoi2 cung5 naam4)
{ 🤼‍♀️ }	摔角女(seot1 gok3 neoi5)
{ 🤼 }	摔角(seot1 gok3)
{ 🤼‍♂️ }	摔角男(seot1 gok3 naam4)
{ 🤸‍♀️ }	側手翻女(zak1 sau2 faan1 neoi5)
{ 🤸 }	側手翻(zak1 sau2 faan1)
{ 🤸‍♂️ }	側手翻男(zak1 sau2 faan1 naam4)
{ ⛹️‍♀️ }	籃球女(laam4 kau4 neoi5)
{ ⛹️ }	打籃球(daa2 laam4 kau4), 打波(daa2 bo1)
{ ⛹️‍♂️ }	籃球男(laam4 kau4 naam4)
{ 🤺 }	擊劍(gik1 gim3)
{ 🤾‍♀️ }	手球女(sau2 kau4 neoi5)
{ 🤾 }	手球(sau2 kau4)
{ 🤾‍♂️ }	手球男(sau2 kau4 naam4)
{ 🏌️‍♀️ }	高爾夫女(gou1 ji5 fu1 neoi5)
{ 🏌️ }	高爾夫(gou1 ji5 fu1)
{ 🏌️‍♂️ }	高爾夫男(gou1 ji5 fu1 naam4)
{ 🏇 }	賽馬(coi3 maa5), 騎馬(ke4 maa5)
{ 🧘‍♀️ }	蓮花座女(lin4 faa1 zo6 neoi5)
{ 🧘 }	蓮花座(lin4 faa1 zo6)
{ 🧘‍♂️ }	蓮花座男(lin4 faa1 zo6 naam4)
{ 🏄‍♀️ }	衝浪女(cung1 long6 neoi5)
{ 🏄 }	衝浪(cung1 long6)
{ 🏄‍♂️ }	衝浪男(cung1 long6 naam4)
{ 🏊‍♀️ }	游泳女(jau4 wing6 neoi5), 游水女(jau4 seoi2 neoi5)
{ 🏊 }	游泳(jau4 wing6), 游水(jau4 seoi2)
{ 🏊‍♂️ }	游泳男(jau4 wing6 naam4), 游水男(jau4 seoi2 naam4)
{ 🤽‍♀️ }	水球女(seoi2 kau4 neoi5)
{ 🤽 }	水球(seoi2 kau4)
{ 🤽‍♂️ }	水球男(seoi2 kau4 naam4)
{ 🚣‍♀️ }	撐船女(caang1 syun4 neoi5), 撐艇女(caang1 teng5 neoi5)
{ 🚣 }	撐船(caang1 syun4), 撐艇(caang1 teng5)
{ 🚣‍♂️ }	撐船男(caang1 syun4 naam4), 撐艇男(caang1 teng5 naam4)
{ 🧗‍♀️ }	攀巖女(paan1 ngaam4 neoi5), 攀巖(paan1 ngaam4)
{ 🧗 }	攀巖(paan1 ngaam4)
{ 🧗‍♂️ }	攀巖男(paan1 ngaam4 naam4), 攀巖(paan1 ngaam4)
{ 🚵‍♀️ }	山地單車女(saan1 dei6 daan1 ce1 neoi5), 山地車女(saan1 dei6 ce1 neoi5)
{ 🚵 }	山地單車(saan1 dei6 daan1 ce1), 山地車(saan1 dei6 ce1)
{ 🚵‍♂️ }	山地單車男(saan1 dei6 daan1 ce1 naam4), 山地車男(saan1 dei6 ce1 naam4)
{ 🚴‍♀️ }	單車女(daan1 ce1 neoi5)
{ 🚴 }	單車(daan1 ce1), 踩單車(caai2 daan1 ce1; jaai2 daan1 ce1), 騎行(kei4 hang4)
{ 🚴‍♂️ }	單車男(daan1 ce1 naam4)
{ 🏆 }	獎杯(zoeng2 bui1), 冠軍(gun3 gwan1), 奪冠(dyut6 gun3)
{ 🥇 }	金牌(gam1 paai4)
{ 🥈 }	銀牌(ngan4 paai4)
{ 🥉 }	銅牌(tung4 paai4)
{ 🏅 }	獎牌(zoeng2 paai4)
{ 🎖 }	軍功勳章(gwan1 gung1 fan1 zoeng1)
{ 🏵 }	玫瑰花結(mui4 gwai3 faa1 git3)
{ 🎗 }	黃絲帶(wong4 si1 daai3)
{ 🎫 }	門票(mun4 piu3), 票據(piu3 geoi3)
{ 🎟 }	入場券(jap6 coeng4 hyun3)
{ 🎪 }	馬戲團(maa5 hei3 tyun4)
{ 🤹‍♀️ }	雜耍女(zaap6 saa2 neoi5)
{ 🤹 }	雜耍(zaap6 saa2)
{ 🤹‍♂️ }	雜耍男(zaap6 saa2 naam4)
{ 🎭 }	表演藝術(biu2 jin2 ngai6 seot6), 雙簧(soeng1 wong4), 相聲(soeng3 sing1)
{ 🩰 }	芭蕾鞋(baa1 leoi4 haai4; baa1 leoi5 haai4), 芭蕾(baa1 leoi4; baa1 leoi5)
{ 🎨 }	調色板(tiu4 sik1 baan2), 繪畫(kui2 waak6; kui2 waa2; kui2 waa6)
{ 🎬 }	場記板(coeng4 gei3 baan2)
{ 🎤 }	咪(mai1), 話筒(waa6 tung2)
{ 🎧 }	耳機(ji5 gei1)
{ 🎼 }	樂譜(ngok6 pou2), 曲譜(kuk1 pou2), 歌譜(go1 pou2)
{ 🎹 }	音樂鍵盤(jam1 ngok6 gin6 pun4), 鋼琴鍵(gong3 kam4 gin6), 鋼琴(gong3 kam4)
{ 🪇 }	沙槌(saa1 ceoi4), 砂槌(saa1 ceoi4)
{ 🥁 }	擊鼓(gik1 gu2), 敲鼓(haau1 gu2), 打鼓(daa2 gu2)
{ 🪘 }	長鼓(coeng4 gu2)
{ 🎷 }	薩克斯(saat3 hak1 si1), 薩克斯風(saat3 hak1 si1 fung1)
{ 🎺 }	小號(siu2 hou6)
{ 🪗 }	手風琴(sau2 fung1 kam4)
{ 🎸 }	結他(git3 taa1), 吉他(gat1 taa1)
{ 🪕 }	五弦琴(ng5 jin4 kam4)
{ 🎻 }	小提琴(siu2 tai4 kam4)
{ 🪈 }	長笛(coeng4 dik6; coeng4 dek2; coeng4 dek6), 笛(dik6; dek6; dek2)
{ 🎲 }	骰(tau4)
{ ♟ }	國際象棋(gwok3 zai3 zoeng6 kei2)
{ 🎯 }	標靶(biu1 baa2)
{ 🎳 }	保齡球(bou2 ling4 kau4)
{ 🎮 }	遊戲手柄(jau4 hei3 sau2 beng3)
{ 🎰 }	老虎機(lou5 fu2 gei1)
{ 🧩 }	拼圖(ping3 tou4)
