231A.FE0F	{ ⌚️ }	手錶(sau2 biu1), 錶(biu1)
1F4F1	{ 📱 }	手機(sau2 gei1), 電話(din6 waa2), 移動電話(ji4 dung6 din6 waa2), 手提電話(sau2 tai4 din6 waa2), 行動電話(hang4 dung6 din6 waa2)
1F4F2	{ 📲 }	來電(loi4 din6), 入電話(jap6 din6 waa2)
1F4BB	{ 💻 }	筆記本電腦(bat1 gei3 bun2 din6 nou5), 手提電腦(sau2 tai4 din6 nou5), 電腦(din6 nou5)
2328.FE0F	{ ⌨️ }	鍵盤(gin6 pun2; gin6 pun4), 打字(daa2 zi6), 輸入法(syu1 jap6 faat3)
1F5A5	{ 🖥 }	電腦(din6 nou5), 檯式電腦(toi4 sik1 din6 nou5), 檯式機(toi4 sik1 gei1), 顯示屏(hin2 si6 ping4), 顯示器(hin2 si6 hei3)
1F5A8	{ 🖨 }	打印機(daa2 jan3 gei1), 打印(daa2 jan3), 列印機(lit6 jan3 gei1), 列印(lit6 jan3), 印表機(jan3 biu2 gei1), 印(jan3)
1F5B1	{ 🖱 }	鼠標(syu2 biu1), 滑鼠(waat6 syu2)
1F5B2	{ 🖲 }	軌跡球(gwai2 zik1 kau4)
1F579	{ 🕹 }	操縱桿(cou1 zung3 gon1)
1F5DC	{ 🗜 }	夾鉗(gaap3 kim4; gaap6 kim2)
1F4BD	{ 💽 }	迷你光碟(mai4 nei5 gwong1 dip2; mai4 nei5 gwong1 dip6), 迷你光盤(mai4 nei5 gwong1 pun2; mai4 nei5 gwong1 pun4), 光碟(gwong1 dip2; gwong1 dip6), 光盤(gwong1 pun2; gwong1 pun4), 碟(dip2; dip6)
1F4BE	{ 💾 }	軟盤(jyun5 pun2), 軟碟(jyun5 dip2)
1F4BF	{ 💿 }	光碟(gwong1 dip2; gwong1 dip6), 光盤(gwong1 pun2; gwong1 pun4), 碟(dip2; dip6)
1F4C0	{ 📀 }	光碟(gwong1 dip2; gwong1 dip6), 光盤(gwong1 pun2; gwong1 pun4), 碟(dip2; dip6)
1F4FC	{ 📼 }	錄像帶(luk6 zoeng6 daai2), 錄影帶(luk6 jing2 daai2)
1F4F7	{ 📷 }	相機(soeng3 gei1; soeng2 gei1), 影相(jing2 soeng3; jing2 soeng2), 影相機(jing2 soeng3 gei1; jing2 soeng2 gei1), 照相機(ziu3 soeng3 gei1; ziu3 soeng2 gei1)
1F4F8	{ 📸 }	閃光燈(sim2 gwong1 dang1)
1F4F9	{ 📹 }	錄像(luk6 zoeng6), 錄影(luk6 jing2), 攝像(sip3 zoeng6), 攝錄(sip3 luk6)
1F3A5	{ 🎥 }	錄像機(luk6 zoeng6 gei1), 錄影機(luk6 jing2 gei1), 攝像機(sip3 zoeng6 gei1), 攝影機(sip3 jing2 gei1), 攝錄機(sip3 luk6 gei1), 錄像(luk6 zoeng6), 錄影(luk6 jing2), 攝像(sip3 zoeng6), 攝錄(sip3 luk6)
1F4FD	{ 📽 }	放映機(fong3 jing2 gei1)
1F39E	{ 🎞 }	膠片(gaau1 pin2), 菲林(fei1 lam2)
1F4DE	{ 📞 }	聽筒(teng1 tung2), 電話(din6 waa2; din6 waa6)
