U+1F3F3 U+FE0F	{ 🏳️ }	[ 白旗 ]
U+1F3F4	{ 🏴 }	[ 黑旗 ]
U+1F3F4 U+200D U+2620 U+FE0F	{ 🏴‍☠️ }	[ 海盜旗, 骷髏旗 ]
U+1F3C1	{ 🏁 }	[ 終點旗 ]
U+1F6A9	{ 🚩 }	[ 三角旗 ]
U+1F3F3 U+FE0F U+200D U+1F308	{ 🏳️‍🌈 }	[ 彩虹旗 ]
U+1F3F3 U+FE0F U+200D U+26A7 U+FE0F	{ 🏳️‍⚧️ }	[ 跨性別旗, 跨性別 ]
U+1F1FA U+1F1F3	{ 🇺🇳 }	[ 聯合國 ]
U+1F1E6 U+1F1EB	{ 🇦🇫 }	[ 阿富汗 ]
U+1F1E6 U+1F1FD	{ 🇦🇽 }	[ 奧蘭群島 ]
U+1F1E6 U+1F1F1	{ 🇦🇱 }	[ 阿爾巴尼亞 ]
U+1F1E9 U+1F1FF	{ 🇩🇿 }	[ 阿爾及利亞 ]
U+1F1E6 U+1F1F8	{ 🇦🇸 }	[ 美屬薩摩亞 ]
U+1F1E6 U+1F1E9	{ 🇦🇩 }	[ 安道爾 ]
U+1F1E6 U+1F1F4	{ 🇦🇴 }	[ 安哥拉 ]
U+1F1E6 U+1F1EE	{ 🇦🇮 }	[ 安圭拉 ]
U+1F1E6 U+1F1F6	{ 🇦🇶 }	[ 南極洲 ]
U+1F1E6 U+1F1EC	{ 🇦🇬 }	[ 安提瓜和巴布達 ]
U+1F1E6 U+1F1F7	{ 🇦🇷 }	[ 阿根廷 ]
U+1F1E6 U+1F1F2	{ 🇦🇲 }	[ 亞美尼亞 ]
U+1F1E6 U+1F1FC	{ 🇦🇼 }	[ 阿魯巴 ]
U+1F1E6 U+1F1FA	{ 🇦🇺 }	[ 澳大利亞, 澳洲 ]
U+1F1E6 U+1F1F9	{ 🇦🇹 }	[ 奧地利 ]
U+1F1E6 U+1F1FF	{ 🇦🇿 }	[ 阿塞拜疆 ]
U+1F1E7 U+1F1F8	{ 🇧🇸 }	[ 巴哈馬 ]
U+1F1E7 U+1F1ED	{ 🇧🇭 }	[ 巴林 ]
U+1F1E7 U+1F1E9	{ 🇧🇩 }	[ 孟加拉國 ]
U+1F1E7 U+1F1E7	{ 🇧🇧 }	[ 巴巴多斯 ]
U+1F1E7 U+1F1FE	{ 🇧🇾 }	[ 白俄羅斯, 白羅斯 ]
U+1F1E7 U+1F1EA	{ 🇧🇪 }	[ 比利時 ]
U+1F1E7 U+1F1FF	{ 🇧🇿 }	[ 伯利茲 ]
U+1F1E7 U+1F1EF	{ 🇧🇯 }	[ 貝寧 ]
U+1F1E7 U+1F1F2	{ 🇧🇲 }	[ 百慕大 ]
U+1F1E7 U+1F1F9	{ 🇧🇹 }	[ 不丹 ]
U+1F1E7 U+1F1F4	{ 🇧🇴 }	[ 玻利維亞 ]
U+1F1E7 U+1F1E6	{ 🇧🇦 }	[ 波斯尼亞和黑塞哥維那 ]
U+1F1E7 U+1F1FC	{ 🇧🇼 }	[ 博茨瓦納 ]
U+1F1E7 U+1F1F7	{ 🇧🇷 }	[ 巴西 ]
U+1F1EE U+1F1F4	{ 🇮🇴 }	[ 英屬印度洋領地 ]
U+1F1FB U+1F1EC	{ 🇻🇬 }	[ 英屬維爾京群島 ]
U+1F1E7 U+1F1F3	{ 🇧🇳 }	[ 文萊 ]
U+1F1E7 U+1F1EC	{ 🇧🇬 }	[ 保加利亞 ]
U+1F1E7 U+1F1EB	{ 🇧🇫 }	[ 布基納法索 ]
U+1F1E7 U+1F1EE	{ 🇧🇮 }	[ 布隆迪, 蒲隆地 ]
U+1F1F0 U+1F1ED	{ 🇰🇭 }	[ 柬埔寨 ]
U+1F1E8 U+1F1F2	{ 🇨🇲 }	[ 喀麥隆 ]
U+1F1E8 U+1F1E6	{ 🇨🇦 }	[ 加拿大 ]
U+1F1EE U+1F1E8	{ 🇮🇨 }	[ 加那利群島 ]
U+1F1E8 U+1F1FB	{ 🇨🇻 }	[ 佛得角 ]
U+1F1E7 U+1F1F6	{ 🇧🇶 }	[ 博奈爾 ]
U+1F1F0 U+1F1FE	{ 🇰🇾 }	[ 開曼群島 ]
U+1F1E8 U+1F1EB	{ 🇨🇫 }	[ 中非共和國 ]
U+1F1F9 U+1F1E9	{ 🇹🇩 }	[ 乍得 ]
U+1F1E8 U+1F1F1	{ 🇨🇱 }	[ 智利 ]
U+1F1E8 U+1F1F3	{ 🇨🇳 }	[ 中國, 中華人民共和國 ]
U+1F1E8 U+1F1FD	{ 🇨🇽 }	[ 聖誕島 ]
U+1F1E8 U+1F1E8	{ 🇨🇨 }	[ 科科斯基林群島 ]
U+1F1E8 U+1F1F4	{ 🇨🇴 }	[ 哥倫比亞 ]
U+1F1F0 U+1F1F2	{ 🇰🇲 }	[ 科摩羅 ]
U+1F1E8 U+1F1EC	{ 🇨🇬 }	[ 剛果共和國 ]
U+1F1E8 U+1F1E9	{ 🇨🇩 }	[ 剛果民主共和國 ]
U+1F1E8 U+1F1F0	{ 🇨🇰 }	[ 庫克群島 ]
U+1F1E8 U+1F1F7	{ 🇨🇷 }	[ 哥斯達黎加 ]
U+1F1E8 U+1F1EE	{ 🇨🇮 }	[ 科特迪瓦 ]
U+1F1ED U+1F1F7	{ 🇭🇷 }	[ 克羅地亞 ]
U+1F1E8 U+1F1FA	{ 🇨🇺 }	[ 古巴 ]
U+1F1E8 U+1F1FC	{ 🇨🇼 }	[ 庫拉索 ]
