1F3F3.FE0F	{ 🏳️ }	白旗(baak6 kei4), 投降(tau4 hong4)
1F3F4	{ 🏴 }	黑旗(hak1 kei4)
1F3F4.200D.2620.FE0F	{ 🏴‍☠️ }	海盜旗(hoi2 dou6 kei4), 骷髏旗(fu1 lau4 kei4), 海盜(hoi2 dou6)
1F3C1	{ 🏁 }	終點旗(zung1 dim2 kei4), 賽車比賽(coi3 ce1 bei2 coi3), 賽車(coi3 ce1)
1F6A9	{ 🚩 }	三角旗(saam1 gok3 kei4)
1F3F3.FE0F.200D.1F308	{ 🏳️‍🌈 }	彩虹旗(coi2 hung4 kei4)
1F3F3.FE0F.200D.26A7.FE0F	{ 🏳️‍⚧️ }	跨性別旗(kwaa1 sing3 bit6 kei4), 跨性別(kwaa1 sing3 bit6)
1F1FA.1F1F3	{ 🇺🇳 }	聯合國(lyun4 hap6 gwok3)
1F1E6.1F1EB	{ 🇦🇫 }	阿富汗(aa3 fu3 hon6)
1F1E6.1F1FD	{ 🇦🇽 }	奧蘭羣島(ou3 laan4 kwan4 dou2)
1F1E6.1F1F1	{ 🇦🇱 }	阿爾巴尼亞(aa3 ji5 baa1 nei4 aa3)
1F1E9.1F1FF	{ 🇩🇿 }	阿爾及利亞(aa3 ji5 kap6 lei6 aa3)
1F1E6.1F1F8	{ 🇦🇸 }	美屬薩摩亞(mei5 suk6 saat3 mo1 aa3)
1F1E6.1F1E9	{ 🇦🇩 }	安道爾(on1 dou6 ji5)
1F1E6.1F1F4	{ 🇦🇴 }	安哥拉(on1 go1 laai1)
1F1E6.1F1EE	{ 🇦🇮 }	安圭拉(on1 gwai1 laai1)
1F1E6.1F1F6	{ 🇦🇶 }	南極洲(naam4 gik6 zau1), 南極(naam4 gik6)
1F1E6.1F1EC	{ 🇦🇬 }	安提瓜及巴布達(on1 tai4 gwaa1 kap6 baa1 bou3 daat6)
1F1E6.1F1F7	{ 🇦🇷 }	阿根廷(aa3 gan1 ting4)
1F1E6.1F1F2	{ 🇦🇲 }	亞美尼亞(aa3 mei5 nei4 aa3)
1F1E6.1F1FC	{ 🇦🇼 }	阿魯巴(aa3 lou5 baa1)
1F1E6.1F1FA	{ 🇦🇺 }	澳大利亞(ou3 daai6 lei6 aa3), 澳洲(ou3 zau1), 澳(ou3), 袋鼠國(doi6 syu2 gwok3)
1F1E6.1F1F9	{ 🇦🇹 }	奧地利(ou3 dei6 lei6)
1F1E6.1F1FF	{ 🇦🇿 }	阿塞拜疆(aa3 coi3 baai3 goeng1)
1F1E7.1F1F8	{ 🇧🇸 }	巴哈馬(baa1 haa1 maa5)
1F1E7.1F1ED	{ 🇧🇭 }	巴林(baa1 lam4)
1F1E7.1F1E9	{ 🇧🇩 }	孟加拉國(maang6 gaa1 laai1 gwok3), 孟加拉(maang6 gaa1 laai1)
1F1E7.1F1E7	{ 🇧🇧 }	巴巴多斯(baa1 baa1 do1 si1)
1F1E7.1F1FE	{ 🇧🇾 }	白俄羅斯(baak6 ngo4 lo4 si1), 白羅斯(baak6 lo4 si1)
1F1E7.1F1EA	{ 🇧🇪 }	比利時(bei2 lei6 si4)
1F1E7.1F1FF	{ 🇧🇿 }	伯利茲(baak3 lei6 zi1)
1F1E7.1F1EF	{ 🇧🇯 }	貝寧(bui3 ning4)
1F1E7.1F1F2	{ 🇧🇲 }	百慕大(baak3 mou6 daai6)
1F1E7.1F1F9	{ 🇧🇹 }	不丹(bat1 daan1)
1F1E7.1F1F4	{ 🇧🇴 }	玻利維亞(bo1 lei6 wai4 aa3)
1F1E7.1F1E6	{ 🇧🇦 }	波黑(bo1 hak1)
1F1E7.1F1FC	{ 🇧🇼 }	博茨瓦納(bok3 ci4 ngaa5 naap6)
1F1E7.1F1F7	{ 🇧🇷 }	巴西(baa1 sai1)
1F1EE.1F1F4	{ 🇮🇴 }	英屬印度洋領地(jing1 suk6 jan3 dou6 joeng4 ling5 dei6)
1F1FB.1F1EC	{ 🇻🇬 }	英屬維京羣島(jing1 suk6 wai4 ging1 kwan4 dou2), 英屬處女羣島(jing1 suk6 cyu2 neoi5 kwan4 dou2)
1F1E7.1F1F3	{ 🇧🇳 }	文萊(man4 loi4)
1F1E7.1F1EC	{ 🇧🇬 }	保加利亞(bou2 gaa1 lei6 aa3)
1F1E7.1F1EB	{ 🇧🇫 }	布基納法索(bou3 gei1 naap6 faat3 sok3)
1F1E7.1F1EE	{ 🇧🇮 }	布隆迪(bou3 lung4 dik6), 蒲隆地(pou4 lung4 dei6)
1F1F0.1F1ED	{ 🇰🇭 }	柬埔寨(gaan2 bou3 zaai6)
1F1E8.1F1F2	{ 🇨🇲 }	喀麥隆(haak3 mak6 lung4)
