露齒笑	lou6 ci2 siu3
笑面	siu3 min2
開懷大笑	hoi1 waai4 daai6 siu3
眉開眼笑	mei4 hoi1 ngaan5 siu3
好笑	hou2 siu3
笑容滿面	siu3 jung4 mun5 min6
露齒大笑	lou6 ci2 daai6 siu3
笑死	siu3 sei2
忍淚笑	jan2 leoi6 siu3
可憐	ho2 lin4
眼溼溼	ngaan5 sap1 sap1
尷尬	gaam3 gaai3
破涕爲笑	po3 tai3 wai4 siu3
笑淚	siu3 leoi6
閉翳	bai3 ai3
面紅	min6 hung4
得意	dak1 ji3
可愛	ho2 oi3
唔使客氣	m4 sai2 haak3 hei3
純潔	seon4 git3
光環	gwong1 waan4
頭頂光環	tau4 deng2 gwong1 waan4
天使	tin1 si3
假笑	gaa2 siu3
倒轉	dou3 zyun3
得意洋洋	dak1 ji3 joeng4 joeng4
佻皮	tiu3 pei4
單眼	daan1 ngaan5
放鬆	fong3 sung1
釋然	sik1 jin4
心滿意足	sam1 mun5 ji3 zuk1
鍾意	zung1 ji3
迷戀	mai4 lyun2
花癡	faa1 ci1
心心眼	sam1 sam1 ngaan5
飛吻	fei1 man5
示愛	si6 oi3
開眼𡃶	hoi1 ngaan5 sek3
瞇眼𡃶	mai4 ngaan5 sek3
𡃶啖	sek3 daam6
𡃶𡃶	sek3 sek3
伸脷	san1 lei6
想食	soeng2 sik6
講笑	gong2 siu3
扮鬼面	baan6 gwai2 min6
調皮	tiu4 pei4
曳曳	jai1 jai1
面目猙獰	min6 muk6 zang1 ning4
單片眼鏡	daan1 pin3 ngaan5 geng3
檢查	gim2 caa4
睇過	tai2 gwo3
睇睇	tai2 tai2
思考	si1 haau2
戴眼鏡	daai3 ngaan5 geng2
戴眼鏡	daai3 ngaan5 geng3
眼鏡	ngaan5 geng3
眼鏡	ngaan5 geng2
墨鏡	mak6 geng3
僞裝	ngai6 zong1
虛僞	heoi1 ngai6
開心	hoi1 sam1
好開心	hou2 hoi1 sam1
好嘢	hou2 je5
正	zing3
正	zeng3
星星眼	sing1 sing1 ngaan5
嘴角上揚	zeoi2 gok3 soeng6 joeng4
陰險	jam1 him2
奸笑	gaan1 siu3
苦瓜面口	fu2 gwaa1 min6 hau2
鬱悶	wat1 mun6
低落	dai1 lok6
憂傷	jau1 soeng1
憂慮	jau1 leoi6
擔憂	daam1 jau1
傷心	soeng1 sam1
擔心	daam1 sam1
困擾	kwan3 jiu2
困擾	kwan3 jiu5
眉頭微皺	mei4 tau4 mei4 zau3
微微不滿	mei4 mei4 bat1 mun5
不滿	bat1 mun5
唔開心	m4 hoi1 sam1
堅忍	gin1 jan2
忍受	jan2 sau6
苦惱	fu2 nou5
煩躁	faan4 cou3
勞累	lou4 leoi6
疲憊	pei4 bei6
難過	naan4 gwo3
厭倦	jim3 gyun6
請求	cing2 kau4
請求	ceng2 kau4
可惜	ho2 sik1
眼淚	ngaan5 leoi6
淚流滿面	leoi6 lau4 mun5 min6
流淚	lau4 leoi6
悲傷	bei1 soeng1
唔忿	m4 fan5
怒	nou6
唔高興	m4 gou1 hing3
嚴肅	jim4 suk1
憤怒	fan5 nou6
詛咒	zo3 zau3
鬧人	naau6 jan4
粗口	cou1 hau2
頭都大埋	tau4 dou1 daai6 maai4
大腦爆炸	daai6 nou5 baau3 zaa3
噉都得	gam2 dou1 dak1
愕然	ngok6 jin4
不知所措	bat1 zi1 so2 cou3
發熱	faat3 jit6
好熱	hou2 jit6
熱死	jit6 sei2
中暑	zung3 syu2
凍甩牙	dung3 lat1 ngaa4
凍死	dung3 sei2
死鬼咁凍	sei2 gwai2 gam3 dung3
鬼死咁凍	gwai2 sei2 gam3 dung3
好凍	hou2 dung3
一頭霧水	jat1 tau4 mou6 seoi2
迷霧	mai4 mou6
恐懼	hung2 geoi6
驚	ging1
