1F000	{ 🀀 }	東(dung1)
1F001	{ 🀁 }	南(naam4)
1F002	{ 🀂 }	西(sai1)
1F003	{ 🀃 }	北(bak1)
1F004.FE0E	{ 🀄︎ }	中(zung1), 紅中(hung4 zung1)
1F005	{ 🀅 }	發(faat3), 發財(faat3 coi4)
1F006	{ 🀆 }	白(baan2), 白板(baak6 baan2)
1F007	{ 🀇 }	一萬(jat1 maan6)
1F008	{ 🀈 }	二萬(ji6 maan6)
1F009	{ 🀉 }	三萬(saam1 maan6)
1F00A	{ 🀊 }	四萬(sei3 maan6)
1F00B	{ 🀋 }	五萬(ng5 maan6)
1F00C	{ 🀌 }	六萬(luk6 maan6)
1F00D	{ 🀍 }	七萬(cat1 maan6)
1F00E	{ 🀎 }	八萬(baat3 maan6)
1F00F	{ 🀏 }	九萬(gau2 maan6)
1F010	{ 🀐 }	一索(jat1 sok3)
1F011	{ 🀑 }	二索(ji6 sok3)
1F012	{ 🀒 }	三索(saam1 sok3)
1F013	{ 🀓 }	四索(sei3 sok3)
1F014	{ 🀔 }	五索(ng5 sok3)
1F015	{ 🀕 }	六索(luk6 sok3)
1F016	{ 🀖 }	七索(cat1 sok3)
1F017	{ 🀗 }	八索(baat3 sok3)
1F018	{ 🀘 }	九索(gau2 sok3)
1F019	{ 🀙 }	一筒(jat1 tung4)
1F01A	{ 🀚 }	二筒(ji6 tung4)
1F01B	{ 🀛 }	三筒(saam1 tung4)
1F01C	{ 🀜 }	四筒(sei3 tung4)
1F01D	{ 🀝 }	五筒(ng5 tung4)
1F01E	{ 🀞 }	六筒(luk6 tung4)
1F01F	{ 🀟 }	七筒(cat1 tung4)
1F020	{ 🀠 }	八筒(baat3 tung4)
1F021	{ 🀡 }	九筒(gau2 tung4)
1F022	{ 🀢 }	梅(mui4)
1F023	{ 🀣 }	蘭(laan4)
1F024	{ 🀤 }	竹(zuk1)
1F025	{ 🀥 }	菊(guk1)
1F026	{ 🀦 }	春(ceon1)
1F027	{ 🀧 }	夏(haa6)
1F028	{ 🀨 }	秋(cau1)
1F029	{ 🀩 }	冬(dung1)
1F02A	{ 🀪 }	百搭(baak3 daap3)
1F02B	{ 🀫 }	麻雀背面(maa4 zoek2 bui3 min6)
